Número de Série,Área,Linha,Nome da Operação,ID Estação,Passo do Teste,Limite Inferior,Valor,Limite Superior,Resultado,Notas,Data do Teste
VLI34A04133,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:25:40 AM"
VLI34A04134,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:25:36 AM"
VLI34A04111,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:24:50 AM"
VLI34A04162,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:24:46 AM"
VLI34A04158,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:24:01 AM"
VLI34A04112,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:23:57 AM"
VLI34A04161,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:23:09 AM"
VLI34A04126,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:23:07 AM"
VLI34A04159,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:22:21 AM"
VLI34A04164,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:22:16 AM"
VLI34A04160,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:21:34 AM"
VLI34A04163,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:21:27 AM"
VLI34A04156,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:16:33 AM"
VLI34A04155,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.199,0.25,PASS,-,"12/5/2025, 10:16:02 AM"
VLI34A04125,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:15:11 AM"
VLI34A04153,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:15:07 AM"
VLI34A04139,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:14:21 AM"
VLI34A04140,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:14:15 AM"
VLI34A04149,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.199,0.25,PASS,-,"12/5/2025, 10:13:24 AM"
VLI34A04144,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:13:18 AM"
VLI34A04150,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:12:30 AM"
VLI34A04143,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:12:24 AM"
VLI34A04136,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:11:41 AM"
VLI34A04138,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:11:34 AM"
VLI34A04131,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:10:49 AM"
VLI34A04135,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:10:42 AM"
VLI34A04129,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:09:58 AM"
VLI34A04137,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:09:48 AM"
VLI34A04132,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:09:03 AM"
VLI34A04130,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.199,0.25,PASS,-,"12/5/2025, 10:08:59 AM"
VLI34A04128,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:08:16 AM"
VLI34A04117,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:07:42 AM"
VLI34A04118,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:06:56 AM"
VLI34A04127,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:06:51 AM"
VLI34A04121,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:05:52 AM"
VLI34A04122,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:05:09 AM"
VLI34A04123,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:04:57 AM"
VLI34A04120,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:04:10 AM"
VLI34A04124,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:04:08 AM"
VLI34A04119,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.199,0.25,PASS,-,"12/5/2025, 10:03:17 AM"
VLI34A04094,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:02:58 AM"
VLI34A04116,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:01:59 AM"
VLI34A04078,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:01:57 AM"
VLI34A04077,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:01:13 AM"
VLI34A04115,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:00:56 AM"
VLI34A04114,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:00:24 AM"
VLI34A04113,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 10:00:05 AM"
VLI34A04109,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:59:36 AM"
VLI34A04110,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:59:00 AM"
VLI34A04105,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:58:14 AM"
VLI34A04101,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:58:10 AM"
VLI34A04107,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:57:25 AM"
VLI34A04108,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:57:21 AM"
VLI34A04102,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:56:34 AM"
VLI34A04106,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:56:31 AM"
VLI34A04103,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:55:45 AM"
VLI34A04104,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:55:41 AM"
VLI34A04099,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:54:59 AM"
VLI34A04100,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:54:41 AM"
VLI34A04095,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:53:48 AM"
VLI34A04093,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:53:35 AM"
VLI34A04096,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:52:37 AM"
VLI34A04092,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:52:24 AM"
VLI34A04097,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:51:29 AM"
VLI34A04098,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:51:27 AM"
VLI34A04091,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:50:40 AM"
VLI34A04024,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:50:35 AM"
VLI34A04057,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:49:46 AM"
VLI34A04079,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:49:42 AM"
VLI34A04058,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:47:03 AM"
VLI34A04089,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:46:24 AM"
VLI34A04090,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:45:56 AM"
VLI34A04087,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:42:43 AM"
VLI34A04088,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:42:21 AM"
VLI34A04085,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:41:52 AM"
VLI34A04086,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:41:28 AM"
VLI34A04084,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.197,0.25,PASS,-,"12/5/2025, 9:40:55 AM"
VLI34A04083,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:40:31 AM"
VLI34A04081,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:39:58 AM"
VLI34A04082,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:39:34 AM"
VLI34A04072,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:39:00 AM"
VLI34A04080,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:38:40 AM"
VLI34A04070,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:38:07 AM"
VLI34A04069,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:37:43 AM"
VLI34A04076,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:37:15 AM"
VLI34A04075,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:36:50 AM"
VLI34A04073,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:36:21 AM"
VLI34A04074,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:35:56 AM"
VLI34A04071,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:35:07 AM"
VLI34A04068,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:35:02 AM"
VLI34A04065,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:34:13 AM"
VLI34A04067,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:34:06 AM"
VLI34A04066,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:33:20 AM"
VLI34A04064,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:33:09 AM"
VLI34A04063,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:32:19 AM"
VLI34A04055,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:32:12 AM"
VLI34A04061,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:31:28 AM"
VLI34A04062,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:31:18 AM"
VLI34A04060,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:30:10 AM"
VLI34A04059,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:29:52 AM"
VLI34A04035,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:28:52 AM"
VLI34A04036,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:28:49 AM"
VLI34A04056,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:28:01 AM"
VLI34A04053,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:27:58 AM"
VLI34A04049,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:27:02 AM"
VLI34A04054,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:26:58 AM"
VLI34A04052,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:26:08 AM"
VLI34A04051,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:25:48 AM"
VLI34A04045,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:24:56 AM"
VLI34A04050,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:24:43 AM"
VLI34A04047,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:24:04 AM"
VLI34A04048,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:23:53 AM"
VLI34A04044,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:23:13 AM"
VLI34A04043,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:22:59 AM"
VLI34A04046,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:22:04 AM"
VLI34A04042,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:21:56 AM"
VLI34A04039,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:21:08 AM"
VLI34A04041,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:21:01 AM"
VLI34A04037,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.198,0.25,PASS,-,"12/5/2025, 9:20:16 AM"
VLI34A04040,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:20:04 AM"
VLI34A04023,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:19:16 AM"
VLI34A04038,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:19:09 AM"
VLI34A04033,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:18:03 AM"
VLI34A04034,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.2,0.25,PASS,-,"12/5/2025, 9:17:57 AM"
VLI34A04031,FA,REGIO,OP20,AID048606,Parafuso 1 Torque(Prg 1),0.18,0.198,0.25,PASS,-,"12/5/2025, 9:16:57 A"
